名称,id,今收,增幅,增比,今开,成交量,最高,涨停,内盘,成交额,委比,流通市值,市盈率,每股收益,总股本,昨收,换手率,最低,跌停,外盘,振幅,量比,总市值,市净率,每股净资产,流通股本
中集集团(000039),sz000039,16.73,-0.07,-0.42%,16.88,8.20万手,16.89,18.48,4.46万手,1.37亿,13.88%,212.07亿,19.90,0.84,29.85亿,16.80,0.65%,16.66,"
                        15.12",3.74万手,1.37%,1.51,499.34亿,1.54,10.88,12.68亿
东旭蓝天(000040),sz000040,11.81,-0.16,-1.34%,11.93,3.13万手,11.96,13.17,1.91万手,3685.55万,-33.58%,125.23亿,36.63,0.24,13.37亿,11.97,0.30%,11.61,"
                        10.77",1.22万手,2.92%,0.27,157.92亿,1.40,8.43,10.60亿
中洲控股(000042),sz000042,15.73,+0.45,+2.95%,15.26,3.63万手,15.90,16.81,1.67万手,5657.98万,20.63%,76.76亿,32.07,0.37,6.65亿,15.28,0.74%,14.92,"
                        13.75",1.96万手,6.41%,3.01,104.58亿,1.73,9.10,4.88亿
中航地产(000043),sz000043,9.12,+0.12,+1.33%,9.08,2.98万手,9.18,9.90,1.45万手,2701.44万,0.67%,60.81亿,40.39,0.23,6.67亿,9.00,0.45%,8.99,"
                        8.10",1.52万手,2.11%,0.09,60.83亿,1.46,6.26,6.67亿
深纺织A(000045),sz000045,9.14,-0.14,-1.51%,9.22,9.58万手,9.38,10.21,5.79万手,8794.16万,2.04%,41.77亿,104.00,0.07,5.11亿,9.28,2.10%,9.07,"
                        8.35",3.79万手,3.34%,1.21,46.73亿,1.95,4.68,4.57亿
泛海控股(000046),sz000046,7.92,--,0.00%,--,--,--,8.71,--,--,--,403.26亿,25.26,0.24,51.96亿,7.92,--,--,"
                        7.13",--,--,--,411.54亿,2.26,3.50,50.92亿
ST中侨(000047),sz000047,,--,%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"
                        --",--,--,--,--,--,--,--
康达尔(000048),sz000048,23.89,+0.16,+0.67%,23.98,2277手,23.98,26.10,863手,542.27万,-44.62%,92.07亿,--,-0.12,3.91亿,23.73,0.06%,23.68,"
                        21.36",1413手,1.26%,0.37,93.35亿,13.62,1.75,3.85亿
德赛电池(000049),sz000049,34.16,+1.01,+3.05%,33.28,4.51万手,34.80,36.47,1.84万手,1.53亿,-76.81%,70.11亿,23.33,1.46,2.05亿,33.15,2.20%,33.18,"
                        29.84",2.67万手,4.89%,0.52,70.11亿,4.99,6.85,2.05亿
深天马A(000050),sz000050,16.16,+0.56,+3.59%,15.79,17.81万手,16.18,17.16,7.93万手,2.86亿,-74.74%,226.40亿,41.00,0.58,20.48亿,15.60,1.27%,15.72,"
                        14.04",9.89万手,2.95%,1.21,330.98亿,1.56,10.33,14.01亿
方大集团(000055),sz000055,7.31,+0.02,+0.27%,7.32,11.00万手,7.37,8.02,5.61万手,8036.70万,4.29%,49.58亿,17.97,0.31,11.84亿,7.29,1.62%,7.26,"
                        6.56",5.39万手,1.51%,0.65,86.52亿,3.52,2.07,6.78亿
皇庭国际(000056),sz000056,13.27,--,0.00%,--,--,--,14.60,--,--,--,37.97亿,72.33,0.14,11.75亿,13.27,--,--,"
                        11.94",--,--,--,155.97亿,2.95,4.50,2.86亿
深赛格(000058),sz000058,6.62,+0.11,+1.69%,6.55,4.56万手,6.62,7.16,2.29万手,2984.00万,-2.63%,35.63亿,88.67,0.06,12.36亿,6.51,0.85%,6.46,"
                        5.86",2.27万手,2.46%,0.40,81.80亿,4.61,1.44,5.38亿
华锦股份(000059),sz000059,9.04,-0.01,-0.11%,9.05,9.22万手,9.07,9.96,5.44万手,8329.05万,18.69%,144.59亿,8.82,0.77,15.99亿,9.05,0.58%,9.00,"
                        8.14",3.79万手,0.77%,0.46,144.59亿,1.25,7.22,15.99亿
中金岭南(000060),sz000060,9.37,+0.03,+0.32%,9.34,18.16万手,9.41,10.27,10.25万手,1.70亿,-4.45%,207.18亿,19.38,0.36,23.80亿,9.34,0.82%,9.31,"
                        8.41",7.91万手,1.07%,0.52,222.99亿,2.24,4.18,22.11亿
农产品(000061),sz000061,7.25,+0.04,+0.55%,7.24,4.46万手,7.27,7.93,2.44万手,3220.66万,-55.14%,122.55亿,3428.81,0.00,16.97亿,7.21,0.26%,7.16,"
                        6.49",2.02万手,1.53%,0.62,123.03亿,2.56,2.83,16.90亿
